Latitude X,Longitude X,Traffic Violence,Crashdate,Crashseverity
39.107582,-84.497694,Injury,9/12/2022 8:50:00 PM,4 - INJURY POSSIBLE
39.108092,-84.497144,Injury,9/12/2022 8:50:00 PM,4 - INJURY POSSIBLE
39.137046,-84.521143,Injury,9/12/2022 7:10:00 PM,4 - INJURY POSSIBLE
39.135536,-84.520933,Injury,9/12/2022 7:10:00 PM,4 - INJURY POSSIBLE
39.100409,-84.519483,Injury,9/12/2022 5:10:00 PM,4 - INJURY POSSIBLE
39.100519,-84.519763,Injury,9/12/2022 5:10:00 PM,4 - INJURY POSSIBLE
39.101719,-84.519303,Injury,9/12/2022 5:10:00 PM,4 - INJURY POSSIBLE
39.161801,-84.518259,Injury,9/12/2022 3:00:00 PM,3 - MINOR INJURY SUSPECTED
39.141911,-84.423068,Injury,9/12/2022 12:35:00 PM,3 - MINOR INJURY SUSPECTED
39.141211,-84.423428,Injury,9/12/2022 12:35:00 PM,3 - MINOR INJURY SUSPECTED
,,Injury,8/19/2022 9:00:00 AM,4 - INJURY POSSIBLE
,,Injury,9/1/2022 8:32:39 AM,4 - INJURY POSSIBLE
39.168395,-84.513599,Injury,8/23/2022 1:31:00 PM,4 - INJURY POSSIBLE
39.140871,-84.492102,Death,5/27/2022 10:15:00 PM,1 - FATAL
39.153219,-84.602205,Injury,8/24/2018 3:20:00 PM,2 - INJURY
39.157988,-84.548801,Injury,9/28/2018 6:29:00 PM,2 - INJURY
39.199136,-84.574785,Injury,5/11/2018 3:30:00 PM,2 - INJURY
39.146343,-84.537771,Injury,10/12/2018 5:40:58 PM,2 - INJURY
39.112675,-84.512035,Injury,7/20/2018 12:45:00 PM,2 - INJURY
39.145477,-84.563419,Injury,1/12/2018 6:05:04 PM,2 - INJURY
39.111253,-84.518908,Injury,8/24/2018 5:45:33 PM,2 - INJURY
39.128032,-84.532761,Injury,7/6/2018 5:17:00 AM,2 - INJURY
39.141213,-84.613936,Injury,10/5/2018 8:03:00 PM,2 - INJURY
39.154349,-84.603088,Injury,10/19/2018 2:25:00 AM,2 - INJURY
39.193016,-84.455344,Injury,11/30/2018 10:29:00 AM,2 - INJURY
39.142155,-84.581611,Injury,11/23/2018 3:10:00 PM,2 - INJURY
39.107691,-84.514391,Injury,10/19/2018 12:09:00 PM,2 - INJURY
39.191951,-84.478709,Injury,9/14/2018 5:32:00 PM,2 - INJURY
39.172541,-84.466954,Injury,10/12/2018 7:35:00 PM,2 - INJURY
39.196781,-84.475901,Injury,8/31/2018 10:10:00 PM,2 - INJURY
39.098191,-84.510121,Injury,9/28/2018 10:50:00 PM,2 - INJURY
39.108175,-84.597447,Injury,10/5/2018 11:10:00 PM,2 - INJURY
39.113747,-84.527491,Injury,9/7/2018 9:29:00 PM,2 - INJURY
39.102499,-84.512496,Injury,12/4/2020 6:33:00 PM,2 - SERIOUS INJURY SUSPECTED
39.116571,-84.597276,Injury,12/10/2021 11:20:00 PM,2 - SERIOUS INJURY SUSPECTED
39.193952,-84.460323,Injury,12/25/2020 11:44:20 AM,2 - SERIOUS INJURY SUSPECTED
39.181474,-84.425061,Injury,1/31/2020 12:35:00 AM,2 - SERIOUS INJURY SUSPECTED
39.124713,-84.547173,Injury,12/11/2020 2:03:00 AM,2 - SERIOUS INJURY SUSPECTED
39.119406,-84.523211,Injury,4/15/2022 12:41:53 AM,2 - SERIOUS INJURY SUSPECTED
