Latitude,Longitude,,
39.11,-84.50,,
39.11,-84.50,,
39.14,-84.52,,
39.14,-84.52,,
39.10,-84.52,,
39.10,-84.52,,
39.10,-84.52,,
39.16,-84.52,,
39.14,-84.42,,
39.14,-84.42,,
,,,
,,,
39.17,-84.51,,
39.14,-84.49,,
39.15,-84.60,,
39.16,-84.55,,
39.20,-84.57,,
39.15,-84.54,,
39.11,-84.51,,
39.15,-84.56,,
39.11,-84.52,,
39.13,-84.53,,
39.14,-84.61,,
39.15,-84.60,,
39.19,-84.46,,
39.14,-84.58,,
39.11,-84.51,,
39.19,-84.48,,
39.17,-84.47,,
39.20,-84.48,,
39.10,-84.51,,
39.11,-84.60,,
39.11,-84.53,,
39.10,-84.51,,
39.12,-84.60,,
39.19,-84.46,,
39.18,-84.43,,
39.12,-84.55,,
39.12,-84.52,,
39.11,-84.52,,
39.18,-84.48,,
39.18,-84.48,,
39.16,-84.51,,
39.21,-84.47,,
39.12,-84.32,,
39.18,-84.42,,
39.11,-84.52,,
39.15,-84.48,,
39.18,-84.46,,
39.15,-84.60,,
39.12,-84.52,,
39.14,-84.53,,
39.11,-84.57,,
39.17,-84.51,,
39.12,-84.53,,
39.13,-84.56,,
39.13,-84.49,,
39.11,-84.57,,
39.15,-84.50,,
39.11,-84.57,,
39.15,-84.57,,
39.15,-84.49,,
39.12,-84.52,,
39.11,-84.60,,
39.07,-84.36,,
39.12,-84.58,,
39.11,-84.51,,
39.19,-84.52,,
39.14,-84.58,,
39.14,-84.55,,
39.14,-84.55,,
39.11,-84.51,,
39.18,-84.48,,
39.13,-84.49,,
39.15,-84.50,,
39.14,-84.49,,
39.13,-84.59,,
39.15,-84.49,,
39.15,-84.49,,
39.16,-84.47,,
39.11,-84.51,,
39.18,-84.45,,
39.11,-84.57,,
39.14,-84.44,,
39.11,-84.52,,
39.18,-84.48,,
39.16,-84.48,,
39.13,-84.50,,
39.14,-84.49,,
39.15,-84.55,,
39.16,-84.51,,
39.18,-84.47,,
39.11,-84.58,,
39.16,-84.39,,
39.10,-84.51,,
39.18,-84.43,,
39.20,-84.56,,
39.21,-84.48,,
39.17,-84.51,,
39.14,-84.56,,
39.15,-84.52,,
39.16,-84.42,,
39.18,-84.51,,
39.10,-84.52,,
39.15,-84.60,,
39.13,-84.53,,
39.18,-84.57,,
39.12,-84.57,,
39.19,-84.48,,
39.14,-84.48,,
39.12,-84.50,,
39.15,-84.56,,
39.15,-84.55,,
39.15,-84.58,,
39.14,-84.48,,
39.21,-84.47,,
39.13,-84.51,,
39.11,-84.58,,
39.13,-84.49,,
39.11,-84.51,,
39.13,-84.53,,
39.11,-84.57,,
39.10,-84.52,,
39.17,-84.52,,
39.15,-84.47,,
39.13,-84.51,,
39.13,-84.59,,
39.14,-84.54,,
39.14,-84.54,,
39.11,-84.51,,
39.11,-84.58,,
39.19,-84.56,,
39.20,-84.46,,
39.18,-84.49,,
39.14,-84.53,,
39.16,-84.55,,
39.16,-84.55,,
39.13,-84.50,,
39.15,-84.59,,
39.11,-84.52,,
39.13,-84.49,,
39.14,-84.54,,
39.15,-84.54,,
39.10,-84.55,,
39.19,-84.46,,
39.14,-84.49,,
39.18,-84.43,,
39.13,-84.56,,
39.13,-84.59,,
39.12,-84.49,,
39.15,-84.59,,
39.18,-84.48,,
39.16,-84.42,,
39.13,-84.55,,
39.13,-84.55,,
39.14,-84.60,,
39.11,-84.52,,
39.15,-84.60,,
39.14,-84.50,,
39.16,-84.50,,
39.10,-84.56,,
39.11,-84.53,,
39.15,-84.59,,
39.13,-84.56,,
39.14,-84.55,,
39.16,-84.51,,
39.16,-84.48,,
39.17,-84.52,,
39.14,-84.49,,
39.19,-84.57,,
39.15,-84.55,,
39.14,-84.54,,
39.20,-84.54,,
39.15,-84.43,,
39.13,-84.49,,
39.21,-84.47,,
39.12,-84.60,,
39.18,-84.47,,
39.10,-84.53,,
39.14,-84.60,,
39.17,-84.51,,
39.13,-84.55,,
39.10,-84.52,,
39.18,-84.48,,
39.12,-84.53,,
39.14,-84.50,,
39.10,-84.51,,
39.19,-84.57,,
39.15,-84.48,,
39.10,-84.51,,
39.13,-84.49,,
39.14,-84.49,,
39.14,-84.49,,
39.20,-84.48,,
39.14,-84.50,,
39.13,-84.60,,
39.16,-84.51,,
39.14,-84.49,,
39.13,-84.55,,
39.11,-84.51,,
39.14,-84.55,,
39.19,-84.46,,
39.14,-84.62,,
39.15,-84.57,,
39.19,-84.51,,
39.15,-84.49,,
39.16,-84.51,,
39.20,-84.56,,
39.18,-84.52,,
39.18,-84.51,,
39.14,-84.55,,
39.12,-84.53,,
39.12,-84.58,,
39.16,-84.51,,
39.16,-84.54,,
39.15,-84.60,,
39.12,-84.58,,
39.15,-84.47,,
39.13,-84.50,,
39.15,-84.60,,
39.12,-84.50,,
39.14,-84.53,,
39.18,-84.51,,
39.11,-84.53,,
39.16,-84.52,,
39.15,-84.52,,
39.20,-84.55,,
39.14,-84.50,,
39.20,-84.46,,
39.11,-84.51,,
39.13,-84.54,,
39.16,-84.51,,
39.11,-84.53,,
39.14,-84.47,,
39.20,-84.47,,
39.20,-84.48,,
39.19,-84.57,,
39.10,-84.52,,
39.11,-84.60,,
39.13,-84.48,,
39.19,-84.57,,
39.19,-84.48,,
39.18,-84.47,,
39.11,-84.53,,
39.12,-84.53,,
39.11,-84.59,,
39.14,-84.54,,
39.10,-84.52,,
39.18,-84.48,,
39.16,-84.51,,
39.21,-84.47,,
39.14,-84.62,,
39.14,-84.48,,
39.18,-84.47,,
39.11,-84.51,,
39.11,-84.52,,
39.17,-84.47,,
39.14,-84.58,,
39.15,-84.54,,
39.11,-84.53,,
39.13,-84.49,,
39.13,-84.52,,
39.11,-84.51,,
39.18,-84.47,,
39.14,-84.48,,
39.19,-84.46,,
39.19,-84.46,,
39.14,-84.53,,
39.16,-84.47,,
39.15,-84.60,,
39.12,-84.55,,
39.16,-84.55,,
39.10,-84.51,,
39.16,-84.47,,
39.11,-84.58,,
39.14,-84.61,,
39.13,-84.55,,
39.19,-84.57,,
39.12,-84.53,,
39.11,-84.51,,
39.12,-84.60,,
39.11,-84.60,,
39.12,-84.42,,
39.17,-84.55,,
39.10,-84.57,,
39.12,-84.52,,
39.14,-84.49,,
39.15,-84.54,,
39.14,-84.53,,
39.12,-84.49,,
39.13,-84.60,,
39.11,-84.52,,
39.13,-84.53,,
39.11,-84.56,,
39.11,-84.57,,
39.14,-84.58,,
39.13,-84.61,,
39.13,-84.50,,
39.10,-84.51,,
39.12,-84.49,,
39.16,-84.51,,
39.11,-84.52,,
